대지위치,위도,경도
경상북도 영천시 조교동 403-13번지,35.97803447,128.96211
경상북도 영천시 조교동 404-1번지,35.97844887,128.96203845
경상북도 영천시 조교동 411-2번지,,
경상북도 영천시 조교동 411-8번지,,
경상북도 영천시 조교동 412-1번지,,
경상북도 영천시 조교동 412-2번지,35.97768223,128.96214895
경상북도 영천시 조교동 415번지,35.9792288,128.96219501
경상북도 영천시 조교동 425-1번지,35.97815071,128.96049501
경상북도 영천시 조교동 460-5번지,35.97816879,128.96152201
경상북도 영천시 조교동 461-1번지,35.97740839,128.96169774
경상북도 영천시 조교동 461-2번지,35.97732441,128.96187392
경상북도 영천시 조교동 461-3번지,35.97714108,128.96189887
경상북도 영천시 조교동 462-2번지,35.9773721,128.9607152
경상북도 영천시 조교동 462-5번지,35.97718345,128.9605254
경상북도 영천시 조교동 462-13번지,35.97728861,128.96100502
경상북도 영천시 조교동 463-2번지,35.9771526,128.95999297
경상북도 영천시 조교동 463-6번지,35.97711162,128.95937969
경상북도 영천시 조교동 463-19번지,35.9769849,128.95943121
경상북도 영천시 조교동 465번지,35.98342142,128.96184085
경상북도 영천시 조교동 468번지,35.98345187,128.96137287
경상북도 영천시 조교동 472-4번지,35.98281659,128.96040436
경상북도 영천시 조교동 472-5번지,35.98316949,128.96035789
경상북도 영천시 조교동 481-2번지,35.9828476,128.96155547
경상북도 영천시 조교동 487번지,35.98298346,128.96203067
경상북도 영천시 조교동 487-5번지,35.98281412,128.96200475
경상북도 영천시 조교동 490번지,35.98286407,128.96231131
경상북도 영천시 조교동 518-1번지,35.98224479,128.95968656
경상북도 영천시 조교동 521번지,35.98219468,128.95917978
경상북도 영천시 조교동 528-2번지,35.98025847,128.95873757
경상북도 영천시 조교동 550번지,35.97846437,128.9576374
경상북도 영천시 조교동 566번지,35.97765039,128.95802658
경상북도 영천시 조교동 574-8번지,35.97692878,128.95861901
경상북도 영천시 조교동 578-1번지,35.9777009,128.9561735
경상북도 영천시 조교동 578-2번지,35.9772401,128.95626722
경상북도 영천시 조교동 587-2번지,35.97663546,128.95433359
경상북도 영천시 조교동 588-12번지,35.97791014,128.95613433
경상북도 영천시 조교동 588-13번지,35.97794417,128.95635145
경상북도 영천시 조교동 588-14번지,35.97822514,128.95629542
경상북도 영천시 조교동 603-1번지,35.97527979,128.95898454
경상북도 영천시 조교동 606번지,35.97676085,128.95793276
경상북도 영천시 조교동 609번지,35.9760489,128.95737597
경상북도 영천시 조교동 614-3번지,35.97505391,128.95776388
경상북도 영천시 조교동 619번지,35.97384423,128.95830977
경상북도 영천시 조교동 626-2번지,35.9736859,128.95707396
경상북도 영천시 조교동 630번지,35.97441654,128.95755681
경상북도 영천시 조교동 630-1번지,35.97434096,128.95699746
경상북도 영천시 조교동 643-2번지,35.97573494,128.9562784
경상북도 영천시 조교동 647-2번지,35.97657681,128.95666501
경상북도 영천시 조교동 647-4번지,35.97648219,128.95627922
경상북도 영천시 조교동 648-3번지,35.97488471,128.95614467
경상북도 영천시 조교동 679-6번지,35.97030678,128.95395651
경상북도 영천시 조교동 687-1번지,35.97541277,128.95570586
경상북도 영천시 조교동 691번지,35.97617967,128.95467254
경상북도 영천시 조교동 695-2번지,35.97589345,128.95406686
경상북도 영천시 조교동 696-1번지,35.97585756,128.95452204
경상북도 영천시 조교동 699-1번지,35.97605315,128.9549275
경상북도 영천시 조교동 701-1번지,35.97617882,128.95512293
경상북도 영천시 조교동 702-2번지,35.97631851,128.95555783
경상북도 영천시 조교동 702-3번지,35.97637267,128.95577312
경상북도 영천시 조교동 702-5번지,35.97681534,128.95524428
