대지위치,사용승인일,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인일(년도),위도,경도,건물연차점수,지상층수_점수,지하층수_점수,비상용승강기_점수,주용도_점수,구조코드_점수,소화전거리,소방서거리,소화전거리_점수,소방관서거리_점수,total_score
경상북도 영천시 신녕면 완전리 852-8번지,20160920,1,0,5.9,경량철골구조,경량철골구조,단독주택,0,2016,36.03851078,128.7899302,1,0,0,5,2,2,62.13660154,1172.183867,3,2,15
경상북도 영천시 신녕면 완전리 852-15번지,20100729,1,0,4,경량철골구조,경량철골구조,제2종근린생활시설,0,2010,36.03825279,128.7902746,2,0,0,5,6,2,20.20328094,1213.589729,1,2,18
경상북도 영천시 신녕면 완전리 852-20번지,20091012,1,0,4.5,경량철골구조,경량철골구조,단독주택,0,2009,36.03809069,128.7899481,2,0,0,5,2,2,38.70476166,1198.518969,2,2,15
경상북도 영천시 신녕면 완전리 852-24번지,19970625,1,0,4.5,벽돌구조,시멘트벽돌,단독주택,0,1997,36.03790171,128.7901187,3,0,0,5,2,4,23.45307391,1222.909931,1,2,17
경상북도 영천시 신녕면 완전리 852-25번지,1955,1,0,0,블록구조,시멘트블록,단독주택,0,1955,36.03780828,128.790196,5,0,0,5,2,4,23.50265818,1234.457496,1,2,19
경상북도 영천시 신녕면 완전리 852-48번지,1925,1,0,0,일반목구조,목조,단독주택,0,1925,36.03705135,128.7895696,5,0,0,5,2,5,84.03983496,1238.805993,3,2,22
경상북도 영천시 신녕면 완전리 852-48번지,1925,1,0,0,일반목구조,목조,단독주택,0,1925,36.03705135,128.7895696,5,0,0,5,2,5,84.03983496,1238.805993,3,2,22
경상북도 영천시 신녕면 완전리 852-49번지,1965,1,0,0,일반목구조,"시멘트블록, 목조",단독주택,0,1965,36.03686285,128.7895509,5,0,0,5,2,5,104.1210523,1250.688621,4,2,23
경상북도 영천시 신녕면 완전리 852-50번지,1925,1,0,0,일반목구조,목조,단독주택,0,1925,36.03687603,128.7894342,5,0,0,5,2,5,106.7514227,1241.657692,4,2,23
경상북도 영천시 신녕면 완전리 852-52번지,1925,1,0,0,일반목구조,목조,단독주택,0,1925,36.03706494,128.7894439,5,0,0,5,2,5,87.91276233,1229.041759,3,2,22
경상북도 영천시 신녕면 완전리 852-55번지,1920,1,0,0,일반목구조,목조,단독주택,0,1920,36.03721124,128.7892836,5,0,0,5,2,5,68.30042073,1207.614498,3,2,22
경상북도 영천시 신녕면 완전리 852-56번지,20210126,1,0,4.6,강파이프구조,강파이프구조,창고시설,0,2021,36.03742724,128.7893972,1,0,0,5,8,2,60.05751699,1200.836095,3,2,21
경상북도 영천시 신녕면 완전리 852-56번지,20210415,1,0,7.34,일반철골구조,일반철골조,창고시설,0,2021,36.03742724,128.7893972,1,0,0,5,8,2,60.05751699,1200.836095,3,2,21
경상북도 영천시 신녕면 완전리 852-58번지,1920,1,0,0,벽돌구조,"벽돌, 목조",단독주택,0,1920,36.03734478,128.7895008,5,0,0,5,2,4,59.7500428,1213.811948,2,2,20
경상북도 영천시 신녕면 완전리 852-63번지,19970526,1,0,4.5,벽돌구조,"시멘트벽돌, 파이프",단독주택,0,1997,36.03784607,128.789711,3,0,0,5,2,4,24.17979306,1196.10147,1,2,17
경상북도 영천시 신녕면 완전리 852-64번지,20110412,1,0,7.7,일반철골구조,일반철골구조,창고시설,0,2011,36.03813597,128.7897159,2,0,0,5,8,2,48.44505099,1178.321878,2,2,21
