일련번호,소화전 고유코드,모델구분,상태,위치명,위도,경도
1000016776,경주소방서 경주 동부 지상 103,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서악동 1428 ,35.81492996,129.1917114
1000016778,경주소방서 경주 동부 지상 104,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서악동 852-3 ,35.82339096,129.1881104
1000011251,경주소방서 경주 동부 지상 105(호스릴) 1,소화용수시설 소화전(지상식),사용가,경상북도 경주시 석장동 1192-1 ,35.85009003,129.1951752
1000012043,경주소방서 경주 동부 지상 106(소화전함) 2,소화용수시설 소화전(지상식),사용가,경상북도 경주시 탑동 633 ,35.81948853,129.21875
1000012044,경주소방서 경주 동부 지상 107(소화전함) 3,소화용수시설 소화전(지상식),사용가,경상북도 경주시 탑동 74-3 ,35.82191849,129.2105255
1000012045,경주소방서 경주 동부 지상 108(소화전함) 4,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 216 ,35.83504486,129.2138977
1000018958,경주소방서 경주 동부 지상 109,소화용수시설 소화전(지상식),사용가,경북 경주시 황남동 240-6,35.83622563,129.2109501
1000012617,경주소방서 경주 동부 지상 11,소화용수시설 소화전(지상식),사용가,경상북도 경주시 노서동 177-29 ,35.84238815,129.2047729
1000019326,경주소방서 경주 동부 지상 110(호스릴)5,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서악동 1151-3,35.8275903,129.1893365
1000019325,경주소방서 경주 동부 지상 111(호스릴) 6,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서악동 500,35.8298841,129.1881003
1000019330,경주소방서 경주 동부 지상 112(호스릴)7,소화용수시설 소화전(지상식),사용가,경북 경주시 율동 1250,35.80994034,129.1821136
1000019331,경주소방서 경주 동부 지상 113(호스릴)8,소화용수시설 소화전(지상식),사용가,경북 경주시 율동 1655-1,35.8035839,129.1831198
1000019317,경주소방서 경주 동부 지상 114(호스릴) 9,소화용수시설 소화전(지상식),사용가,경북 경주시 충효동 1401,35.84993029,129.1643383
1000019318,경주소방서 경주 동부 지상 115(호스릴) 10,소화용수시설 소화전(지상식),사용가,경북 경주시 충효동 1640,35.84652209,129.1622729
1000019321,경주소방서 경주 동부 지상 116(호스릴) 11,소화용수시설 소화전(지상식),사용가,경북 경주시 효현동 570,35.82584212,129.1687511
1000019323,경주소방서 경주 동부 지상 117(호스릴) 12,소화용수시설 소화전(지상식),사용가,경북 경주시 효현동 631-6,35.83022601,129.1671139
1000012618,경주소방서 경주 동부 지상 12,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 311-4 황남치안센터,35.83470154,129.2096863
1000012619,경주소방서 경주 동부 지상 13,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서부동 253-13 ,35.84745026,129.207077
1000012620,경주소방서 경주 동부 지상 14,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 379-1 보우아파트,35.84360504,129.2017365
1000012621,경주소방서 경주 동부 지상 15,소화용수시설 소화전(지상식),사용가,경상북도 경주시 노서동 162-28 ,35.83979797,129.2047119
1000012622,경주소방서 경주 동부 지상 16,소화용수시설 소화전(지상식),사용가,경상북도 경주시 탑동 640-5 식혜골마을회관,35.8195,129.2182
1000012623,경주소방서 경주 동부 지상 17,소화용수시설 소화전(지상식),사용가,경상북도 경주시 석장동 770 ,35.86327362,129.1895752
1000012624,경주소방서 경주 동부 지상 18,소화용수시설 소화전(지상식),사용가,경상북도 경주시 탑동 845-1 ,35.81588364,129.2174225
1000012625,경주소방서 경주 동부 지상 19,소화용수시설 소화전(지상식),사용가,경상북도 경주시 동부동 149 ,35.8450737,129.2115631
1000012608,경주소방서 경주 동부 지상 2,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 323 ,35.84634399,129.2028961
