대지위치,위도,경도,total_score
경상북도 영천시 고경면 창하리 982-1번지,35.9852393,128.9789928,305
경상북도 영천시 고경면 창하리 982-1번지,35.9852393,128.9789928,305
경상북도 영천시 고경면 대의리 218번지,35.96481739,128.9920678,320
경상북도 영천시 고경면 대의리 708-1번지,35.97155215,128.9807452,310
경상북도 영천시 고경면 부리 181번지,35.97295362,129.0455113,320
경상북도 영천시 고경면 가수리 66번지,36.00276747,129.088695,315
경상북도 영천시 고경면 가수리 78-2번지,36.00241909,129.0856845,310
경상북도 영천시 고경면 가수리 186-1번지,36.00323015,129.0807146,340
경상북도 영천시 고경면 가수리 430-1번지,35.99993839,129.0866077,310
경상북도 영천시 고경면 삼산리 254번지,35.99815624,129.0963437,335
경상북도 영천시 북안면 북리 262번지,35.86158854,128.9852777,330
경상북도 영천시 북안면 도유리 118-2번지,35.86960362,128.9793471,305
경상북도 영천시 북안면 신대리 151-1번지,35.88142747,129.0042515,315
경상북도 영천시 북안면 도천리 573번지,35.89689817,129.0173493,320
경상북도 영천시 북안면 반정리 552번지,35.93497839,128.9951568,305
경상북도 영천시 북안면 유상리 800번지,35.91828863,128.9757814,340
경상북도 영천시 대창면 직천리 203번지,35.86825974,128.9624144,315
경상북도 영천시 대창면 용전리 60-8번지,35.87044124,128.952438,315
경상북도 영천시 대창면 용전리 139번지,35.87060777,128.9493814,315
경상북도 영천시 대창면 신광리 686-5번지,35.85617188,128.9212795,315
경상북도 영천시 대창면 신광리 992번지,35.84756845,128.9160293,310
경상북도 영천시 대창면 조곡리 756번지,35.85832932,128.9057457,330
경상북도 영천시 대창면 조곡리 976번지,35.85719635,128.9040482,305
경상북도 영천시 대창면 구지리 124번지,35.86630088,128.8881856,305
경상북도 영천시 대창면 사리리 127번지,35.87969697,128.8845431,300
경상북도 영천시 대창면 사리리 127번지,35.87969697,128.8845431,300
경상북도 영천시 대창면 대창리 29번지,35.89064742,128.8906788,305
