읍면동,총인구수,고령인구
금호읍,10205,"4068"
청통면,3869,"1824"
신녕면,3564,"1775"
화산면,2971,"1560"
화북면,2163,"1112"
화남면,3151,"1572"
자양면,1298,621
임고면,4061,"2077"
고경면,5580,"2321"
북안면,4239,"2169"
대창면,2955,"1429"
동부동,"26299","5613"
중앙동,"8833","2123"
서부동,"4353","1683"
완산동,"9819","2089"
남부동,"3772","1319"
