공공데이터명,출처,국가중점
경상북도_소방관서 및 구급차량 현황,공공데이터포털,⭕
경상북도_소화전 통합관리 운영현황,공공데이터포털,⭕
2025 1분기 주민등록인구통계,영천시청,❌
건축물대장(표제부),건축HUB,⭕
