변수명,설명,예시값,비고
사용승인일(년도),건물의 사용 승인 연도(건물 노후도를 알아보기 위함),1984,오래될수록 전기/소방 설비 노후 및 내화재 미비 가능성 ↑
지상층수,건물의 지상 층 수,5층,층수가 높을수록 대피 시간 증가
지하층수,건물의 지하 층 수,지하 2층,연기 흡입 및 대피 지연 위험 ↑
주용도코드명,건물의 주요 기능 및 사용 목적 구분,"공장, 숙박시설",용도별로 화재 확산/발생 위험 통계 기반
구조코드명,건물의 주요 구조체 재료,"목조, 철근콘크리트",목조건물은 내화성 낮고 구조적 위험 ↑
비상용승강기수,화재 시 대피에 사용할 수 있는 승강기 수,1대,대피 수단 부족 시 위험도 ↑
소화전 거리,건물과 가장 가까운 소화전까지의 거리,100m,70m 이상부터는 소방 호스 연결 제한 가능성 ↑
소방관서 거리,"최근접 소방관서(소방서, 119센터 등) 거리",4km,도착 지연 시 초기 대응 실패율 ↑
